Active servers:
IP:port               | Gametype  | Name
----------------------+-----------+------------------------------
5.135.46.179:28916    | CTF       | (#1)SERVER
99.192.52.108:28950   | DM        | After The Burial(lobby)
5.135.46.179:28912    | Arsenal   | Arsenal-Megalag[UT-Sounds]
94.23.195.203:28912   | Assassin  | Assassin Bastards
45.3.12.200:28910     | CTF       | Bastard's Corner
45.3.27.104:28910     | CTF       | Bastard's Corner
51.75.130.126:28910   | CTF       | Bastard's Corner 2
94.23.195.203:28914   | DM        | Bastard's Corner DM
94.23.195.203:28916   | Team CTB  | Bastards on the Bunker
102.66.192.86:17242   | DM        | CGZA - SoF Deathmatch
213.184.111.80:20000  | DM        | ChAoS Unlimited Fire DM Fiber
99.192.52.108:28930   | COOP      | Cooperative Mission
99.192.52.108:28920   | COOP      | Cooperative Mission (Single Player)
5.135.46.179:28920    | CTF       | Free Server Mode - CTF (unclaimed)
5.135.46.179:28922    | DM        | Free Server Mode - DM (unclaimed)
5.135.46.179:28914    | DM        | Lag DM
5.135.46.179:28910    | DM        | Mad Onion
93.234.58.55:28910    | DM        | MHP-Clan.de
50.107.98.75:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
5.135.46.179:28926    | CTF       | [$$] , !CTF! & [Ç#] SerVer
5.135.46.179:28918    | DM        | UT 1995

Inactive servers:
Offline  | IP:port               | Gametype  | Name
9 days   | 94.23.195.203:28910   | DM        | Bastard's Corner DM
24 days  | 45.3.0.180:28916      | DM        | Bastard's Corner DM
25 days  | 45.3.16.202:28916     | DM        | Bastard's Corner DM
29 days  | 24.50.191.203:28916   | DM        | Bastard's Corner DM
32 days  | 24.50.169.4:28916     | DM        | Bastard's Corner DM
33 days  | 24.50.179.12:28916    | DM        | Bastard's Corner DM
33 days  | 24.50.190.106:28916   | DM        | Bastard's Corner DM
39 days  | 24.50.190.32:28916    | DM        | Bastard's Corner DM
44 days  | 24.50.184.37:28916    | DM        | Bastard's Corner DM
46 days  | 24.50.183.194:28916   | DM        | Bastard's Corner DM
53 days  | 45.3.29.145:28916     | DM        | Bastard's Corner DM
60 days  | 24.50.191.80:28916    | DM        | Bastard's Corner DM
61 days  | 24.50.178.222:28916   | DM        | Bastard's Corner DM
67 days  | 45.3.19.218:28916     | DM        | Bastard's Corner DM
68 days  | 45.3.25.19:28916      | DM        | Bastard's Corner DM
74 days  | 45.3.29.233:28916     | DM        | Bastard's Corner DM
78 days  | 45.3.25.42:28916      | DM        | Bastard's Corner DM
81 days  | 45.3.0.213:28916      | DM        | Bastard's Corner DM
88 days  | 24.50.165.63:28916    | DM        | Bastard's Corner DM
88 days  | 45.3.7.200:28916      | DM        | Bastard's Corner DM
97 days  | 24.50.170.83:28916    | DM        | Bastard's Corner DM
11 days  | 51.75.130.126:28912   | DM        | Bastard's Corner DM beeg guns
24 days  | 45.3.0.180:28914      | Team CTB  | Bastards on the Bunker
25 days  | 45.3.16.202:28914     | Team CTB  | Bastards on the Bunker
29 days  | 24.50.191.203:28914   | Team CTB  | Bastards on the Bunker
32 days  | 24.50.169.4:28914     | Team CTB  | Bastards on the Bunker
33 days  | 24.50.179.12:28914    | Team CTB  | Bastards on the Bunker
97 days  | 24.50.170.83:28914    | Team CTB  | Bastards on the Bunker
1 day    | 102.66.197.13:17242   | DM        | CGZA - SoF Deathmatch
1 day    | 102.66.82.215:17242   | DM        | CGZA - SoF Deathmatch
7 days   | 102.66.178.246:17242  | DM        | CGZA - SoF Deathmatch
7 days   | 102.66.190.40:17242   | DM        | CGZA - SoF Deathmatch
7 days   | 154.66.252.196:17242  | DM        | CGZA - SoF Deathmatch
7 days   | 102.66.85.241:17242   | DM        | CGZA - SoF Deathmatch
7 days   | 102.66.140.145:17242  | DM        | CGZA - SoF Deathmatch
7 days   | 102.66.82.38:17242    | DM        | CGZA - SoF Deathmatch
8 days   | 213.172.148.30:17242  | DM        | CGZA - SoF Deathmatch
8 days   | 102.66.185.147:17242  | DM        | CGZA - SoF Deathmatch
31 days  | 102.66.190.226:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.192.128:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.172:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.85.253:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.87.95:17242    | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.87.236:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.192.133:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.86.135:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.190.174:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.87.194:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.120:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.236:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.88:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.178.38:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.192.118:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.185.171:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.86.18:17242    | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.78:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.185.156:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.190.45:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.192.105:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.187.51:17242   | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.192.240:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.185.236:17242  | DM        | CGZA - SoF Deathmatch
38 days  | 102.66.190.35:17242   | DM        | CGZA - SoF Deathmatch
40 days  | 102.66.190.38:17242   | DM        | CGZA - SoF Deathmatch
11 days  | 51.75.130.126:28922   | Control   | Control this!
36 days  | 47.55.42.167:28930    | COOP      | Cooperative Mission
70 days  | 142.68.233.74:28930   | COOP      | Cooperative Mission
73 days  | 159.2.111.158:28930   | COOP      | Cooperative Mission
36 days  | 47.55.42.167:28920    | COOP      | Cooperative Mission (Single Player)
70 days  | 142.68.233.74:28920   | COOP      | Cooperative Mission (Single Player)
73 days  | 159.2.111.158:28920   | COOP      | Cooperative Mission (Single Player)
9 days   | 51.75.130.126:28920   | CTF       | EURO Bastards
30 days  | 94.212.73.226:28910   | CTF       | KõÐ»Sêrvêr –CTF
11 days  | 51.75.130.126:28916   | Realistic | Let's get real
57 days  | 80.132.154.94:28910   | DM        | MHP-Clan.de
63 days  | 80.132.155.19:28910   | DM        | MHP-Clan.de
1 day    | 34.159.103.18:28914   | CTF       | [Ç#] Server! CHwiZ-ClaN.1fr1.NeT
6 days   | 34.155.184.209:28910  | CTF       | [Ç#] Server! CHwiZ-ClaN.1fr1.NeT
10 days  | 34.89.90.157:28910    | CTF       | [Ç#] Server! CHwiZ-ClaN.1fr1.NeT
23 days  | 172.104.241.117:28910 | CTF       | [Ç#] Server! CHwiZ-ClaN.1fr1.NeT
5 days   | 50.107.92.39:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
5 days   | 50.107.94.76:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
6 days   | 50.107.101.198:28910  | DM        | * * * S H M O O  ' S   G A M E * * * 
10 days  | 50.107.99.146:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
10 days  | 50.107.107.241:28910  | DM        | * * * S H M O O  ' S   G A M E * * * 
12 days  | 50.107.89.47:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
15 days  | 50.107.127.40:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
20 days  | 50.107.87.160:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
32 days  | 50.107.74.14:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
34 days  | 50.107.118.171:28910  | DM        | * * * S H M O O  ' S   G A M E * * * 
35 days  | 50.107.103.13:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
40 days  | 50.107.115.198:28910  | DM        | * * * S H M O O  ' S   G A M E * * * 
42 days  | 50.107.77.254:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
44 days  | 50.107.72.75:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
47 days  | 50.107.123.78:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
50 days  | 50.107.64.171:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
55 days  | 50.107.78.219:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
67 days  | 50.107.96.161:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
83 days  | 50.107.65.206:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
84 days  | 50.107.84.6:28910     | DM        | * * * S H M O O  ' S   G A M E * * * 
84 days  | 50.107.91.40:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
85 days  | 50.107.85.168:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
96 days  | 50.107.112.32:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
97 days  | 50.107.75.102:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
97 days  | 50.107.118.26:28910   | DM        | * * * S H M O O  ' S   G A M E * * * 
97 days  | 50.107.127.134:28910  | DM        | * * * S H M O O  ' S   G A M E * * * 
1 day    | 34.159.103.18:28916   | DM        | [Ç#] SHOTGUN & BOTS! SERVER
6 days   | 34.155.184.209:28912  | DM        | [Ç#] SHOTGUN & BOTS! SERVER
10 days  | 34.89.90.157:28912    | DM        | [Ç#] SHOTGUN & BOTS! SERVER
23 days  | 172.104.241.117:28912 | DM        | [Ç#] SHOTGUN & BOTS! SERVER
13 days  | 201.87.95.241:28910   | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
13 days  | 189.78.11.24:28910    | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
44 days  | 177.62.12.2:28910     | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
46 days  | 189.79.201.56:28910   | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
54 days  | 201.87.59.115:28910   | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
71 days  | 177.172.40.211:28910  | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
79 days  | 177.62.21.55:28910    | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
85 days  | 177.62.22.168:28910   | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
93 days  | 177.62.22.129:28910   | DM        | Temple Of Assassin BR - ***https://discord.gg/Ys4Fmj6dEB
23 days  | 45.33.117.43:28910    | CTF       | THEDOGHOUSE
22 days  | 51.75.130.126:28914   | Assassin  | Up Your Assassin
